k,t,r
229,107.992497,0.030262,0.215616
230,108.519403,0.030238,0.216985
231,108.917541,0.030214,0.216985
232,109.450213,0.030191,0.218432
233,109.852216,0.030169,0.218432
234,110.381194,0.030148,0.219910
235,110.789749,0.030127,0.219910
236,111.340503,0.030106,0.221395
237,111.736902,0.030085,0.221395
238,112.288546,0.030064,0.222855
239,112.696922,0.030041,0.222855
240,113.234631,0.030019,0.224291
241,113.650356,0.029998,0.224291
242,114.195861,0.029978,0.225750
243,114.600954,0.029959,0.225750
244,115.133857,0.029940,0.227241
245,115.535943,0.029920,0.227241
246,116.074239,0.029899,0.228711
247,116.482600,0.029875,0.228711
248,117.016982,0.029848,0.230087
249,117.426470,0.029819,0.230087
250,117.975658,0.029787,0.231325
251,118.387147,0.029754,0.231325
252,118.937268,0.029720,0.232448
253,119.345904,0.029686,0.232448
254,119.884429,0.029651,0.233525
255,120.285830,0.029617,0.233525
256,120.828127,0.029583,0.234594
257,121.230940,0.029549,0.234594
258,121.761670,0.029517,0.235682
259,122.165422,0.029485,0.235682
260,122.706348,0.029455,0.236786
261,123.110762,0.029424,0.236786
262,123.667463,0.029392,0.237894
263,124.074153,0.029360,0.237894
264,124.604566,0.029327,0.238966
265,125.019073,0.029295,0.238966
266,125.558846,0.029263,0.240042
267,125.955775,0.029232,0.240042
268,126.486542,0.029199,0.241129
269,126.882852,0.029163,0.241129
270,127.415894,0.029125,0.242138
271,127.823162,0.029084,0.242138
272,128.357733,0.029040,0.242982
273,128.768103,0.028993,0.242982
274,129.302012,0.028946,0.243662
275,129.706264,0.028899,0.243662
276,130.258443,0.028853,0.244282
277,130.660665,0.028811,0.244282
278,131.204583,0.028773,0.245033
279,131.609701,0.028736,0.245033
280,132.145425,0.028700,0.245953
281,132.551845,0.028662,0.245953
282,133.086065,0.028622,0.246858
283,133.498758,0.028580,0.246858
284,134.045977,0.028537,0.247639
285,134.449398,0.028493,0.247639
286,134.986180,0.028447,0.248274
287,135.384165,0.028401,0.248274
288,135.924917,0.028356,0.248865
289,136.331721,0.028313,0.248865
290,136.868791,0.028269,0.249511
291,137.274085,0.028224,0.249511
292,137.812352,0.028176,0.250134
