k,t,r
521,245.726418,0.000012,0.000126
522,246.258016,0.000012,0.000127
523,246.661915,0.000012,0.000127
524,247.196276,0.000012,0.000128
525,247.598223,0.000012,0.000128
526,248.153116,0.000012,0.000127
527,248.564991,0.000012,0.000127
528,249.094755,0.000012,0.000127
529,249.496228,0.000012,0.000127
530,250.044664,0.000012,0.000127
531,250.451080,0.000012,0.000127
532,250.988509,0.000012,0.000126
533,251.390461,0.000012,0.000126
534,251.934224,0.000012,0.000125
535,252.336360,0.000012,0.000125
536,252.877033,0.000012,0.000124
537,253.283993,0.000012,0.000124
538,253.822426,0.000012,0.000123
539,254.227325,0.000012,0.000123
540,254.770218,0.000011,0.000122
541,255.168385,0.000011,0.000122
542,255.712977,0.000011,0.000121
543,256.117860,0.000011,0.000121
544,256.646518,0.000011,0.000120
545,257.049552,0.000011,0.000120
546,257.589909,0.000011,0.000118
547,258.001599,0.000010,0.000118
548,258.536786,0.000010,0.000116
549,258.944462,0.000010,0.000116
550,259.487670,0.000010,0.000114
551,259.905200,0.000010,0.000114
552,260.432999,0.000010,0.000113
553,260.842019,0.000010,0.000113
554,261.367485,0.000010,0.000111
555,261.773016,0.000010,0.000111
556,262.310490,0.000010,0.000110
557,262.717128,0.000010,0.000110
558,263.255789,0.000010,0.000108
559,263.669815,0.000009,0.000108
560,264.215319,0.000009,0.000107
561,264.619230,0.000009,0.000107
562,265.169049,0.000009,0.000106
563,265.573863,0.000009,0.000106
564,266.109772,0.000009,0.000105
565,266.530603,0.000009,0.000105
566,267.060255,0.000008,0.000104
567,267.462358,0.000008,0.000104
568,268.002826,0.000008,0.000103
569,268.401536,0.000008,0.000103
570,268.936733,0.000008,0.000101
571,269.344010,0.000008,0.000101
572,269.892633,0.000008,0.000099
573,270.297523,0.000008,0.000099
574,270.830493,0.000008,0.000097
575,271.227527,0.000008,0.000097
576,271.760475,0.000008,0.000095
577,272.158921,0.000008,0.000095
578,272.702276,0.000008,0.000093
579,273.112471,0.000008,0.000093
580,273.671487,0.000008,0.000091
581,274.083268,0.000008,0.000091
582,274.641047,0.000008,0.000089
583,275.040594,0.000008,0.000089
584,275.587318,0.000008,0.000087
585,276.000363,0.000008,0.000087
586,276.533849,0.000008,0.000086
587,276.945247,0.000008,0.000086
588,277.507990,0.000009,0.000084
589,277.914173,0.000009,0.000084
590,278.451943,0.000009,0.000083
591,278.856791,0.000009,0.000083
592,279.393433,0.000009,0.000082
593,279.797738,0.000009,0.000082
594,280.341913,0.000009,0.000081
595,280.744701,0.000009,0.000081
596,281.290005,0.000009,0.000079
597,281.689646,0.000009,0.000079
598,282.218639,0.000009,0.000077
599,282.625343,0.000009,0.000077
600,283.151421,0.000009,0.000076
601,283.559629,0.000009,0.000076
602,284.096848,0.000009,0.000074
603,284.499430,0.000009,0.000074
604,285.049091,0.000009,0.000073
605,285.448270,0.000009,0.000073
606,285.977251,0.000009,0.000073
607,286.382825,0.000009,0.000073
608,286.921932,0.000009,0.000073
609,287.319125,0.000009,0.000073
610,287.849747,0.000009,0.000073
611,288.249618,0.000010,0.000073
612,288.793109,0.000010,0.000074
613,289.193773,0.000010,0.000074
614,289.732558,0.000010,0.000074
615,290.143138,0.000010,0.000074
616,290.677240,0.000010,0.000075
617,291.078637,0.000010,0.000075
618,291.629943,0.000010,0.000075
619,292.028995,0.000010,0.000075
620,292.567526,0.000010,0.000074
621,292.971396,0.000010,0.000074
622,293.508377,0.000010,0.000074
623,293.916961,0.000010,0.000074
624,294.455340,0.000010,0.000073
625,294.862103,0.000010,0.000073
626,295.409711,0.000010,0.000073
627,295.814225,0.000010,0.000073
628,296.362662,0.000010,0.000073
629,296.765512,0.000010,0.000073
630,297.294981,0.000010,0.000072
631,297.707784,0.000010,0.000072
632,298.241282,0.000010,0.000072
633,298.644153,0.000010,0.000072
634,299.192535,0.000010,0.000073
635,299.591416,0.000010,0.000073
636,300.126650,0.000010,0.000074
637,300.531762,0.000010,0.000074
638,301.081473,0.000010,0.000074
639,301.479484,0.000010,0.000074
640,302.021776,0.000010,0.000075
641,302.431297,0.000010,0.000075
642,302.968726,0.000010,0.000076
643,303.368127,0.000010,0.000076
644,303.905567,0.000010,0.000077
645,304.308369,0.000010,0.000077
646,304.842721,0.000010,0.000078
647,305.252555,0.000010,0.000078
648,305.788236,0.000009,0.000079
